review_id,booking_id,review_date,rating_score,sentiment_label,complaint_category,review_source,created_at
RV000056,BK100106,2025-06-10,4.8,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000057,BK100109,2025-06-06,4.6,Positive,,Booking.com,2025-06-06 12:00:00
RV000058,BK100112,2025-06-04,4.9,Positive,,Traveloka,2025-06-04 12:00:00
RV000059,BK100114,2025-06-07,4.0,Neutral,Breakfast queue,Post-stay survey,2025-06-07 12:00:00
RV000060,BK100117,2025-06-06,4.1,Neutral,Elevator wait,Post-stay survey,2025-06-06 12:00:00
RV000061,BK100119,2025-06-07,4.5,Positive,,Booking.com,2025-06-07 12:00:00
RV000062,BK100120,2025-06-06,4.9,Positive,,Post-stay survey,2025-06-06 12:00:00
RV000063,BK100121,2025-06-05,4.5,Positive,,Post-stay survey,2025-06-05 12:00:00
RV000064,BK100122,2025-06-06,4.9,Positive,,Post-stay survey,2025-06-06 12:00:00
RV000065,BK100124,2025-06-05,4.9,Positive,,Post-stay survey,2025-06-05 12:00:00
RV000066,BK100127,2025-06-07,4.7,Positive,,Agoda,2025-06-07 12:00:00
RV000067,BK100128,2025-06-09,4.8,Positive,,Agoda,2025-06-09 12:00:00
RV000068,BK100129,2025-06-06,4.3,Neutral,Room view expectation,Booking.com,2025-06-06 12:00:00
RV000069,BK100130,2025-06-06,4.6,Positive,,Post-stay survey,2025-06-06 12:00:00
RV000070,BK100131,2025-06-08,4.1,Neutral,Room view expectation,Agoda,2025-06-08 12:00:00
RV000071,BK100133,2025-06-06,5.0,Positive,,Booking.com,2025-06-06 12:00:00
RV000072,BK100134,2025-06-11,4.8,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000073,BK100137,2025-06-08,4.5,Positive,,Agoda,2025-06-08 12:00:00
RV000074,BK100140,2025-06-10,5.0,Positive,,Booking.com,2025-06-10 12:00:00
RV000075,BK100145,2025-06-13,4.4,Neutral,Elevator wait,Post-stay survey,2025-06-13 12:00:00
RV000076,BK100148,2025-06-08,4.2,Neutral,Room view expectation,Agoda,2025-06-08 12:00:00
RV000077,BK100152,2025-06-07,4.8,Positive,,Post-stay survey,2025-06-07 12:00:00
RV000078,BK100154,2025-06-06,4.5,Positive,,Post-stay survey,2025-06-06 12:00:00
RV000079,BK100155,2025-06-07,4.9,Positive,,Booking.com,2025-06-07 12:00:00
RV000080,BK100159,2025-06-09,4.8,Positive,,Booking.com,2025-06-09 12:00:00
RV000081,BK100160,2025-06-09,5.0,Positive,,Agoda,2025-06-09 12:00:00
RV000082,BK100161,2025-06-05,4.6,Positive,,Traveloka,2025-06-05 12:00:00
RV000083,BK100164,2025-06-12,5.0,Positive,,Booking.com,2025-06-12 12:00:00
RV000084,BK100165,2025-06-09,4.4,Neutral,Room view expectation,Post-stay survey,2025-06-09 12:00:00
RV000085,BK100167,2025-06-08,4.5,Positive,,Booking.com,2025-06-08 12:00:00
RV000086,BK100168,2025-06-11,4.3,Neutral,Elevator wait,Booking.com,2025-06-11 12:00:00
RV000087,BK100170,2025-06-12,4.8,Positive,,Agoda,2025-06-12 12:00:00
RV000088,BK100172,2025-06-11,4.8,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000089,BK100176,2025-06-07,4.4,Neutral,,Agoda,2025-06-07 12:00:00
RV000090,BK100180,2025-06-05,4.7,Positive,,Booking.com,2025-06-05 12:00:00
RV000091,BK100182,2025-06-07,4.6,Positive,,Post-stay survey,2025-06-07 12:00:00
RV000092,BK100183,2025-06-05,4.5,Positive,,Post-stay survey,2025-06-05 12:00:00
RV000093,BK100185,2025-06-06,4.2,Neutral,Elevator wait,Post-stay survey,2025-06-06 12:00:00
RV000094,BK100186,2025-06-10,4.4,Neutral,Breakfast queue,Agoda,2025-06-10 12:00:00
RV000095,BK100187,2025-06-10,4.8,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000096,BK100189,2025-06-09,5.0,Positive,,Booking.com,2025-06-09 12:00:00
RV000097,BK100190,2025-06-11,4.8,Positive,,Other OTA,2025-06-11 12:00:00
RV000098,BK100192,2025-06-11,4.5,Positive,,Agoda,2025-06-11 12:00:00
RV000099,BK100193,2025-06-07,4.9,Positive,,Booking.com,2025-06-07 12:00:00
RV000100,BK100194,2025-06-09,4.7,Positive,,Agoda,2025-06-09 12:00:00
RV000101,BK100196,2025-06-09,4.9,Positive,,Agoda,2025-06-09 12:00:00
RV000102,BK100199,2025-06-09,4.8,Positive,,Booking.com,2025-06-09 12:00:00
RV000103,BK100202,2025-06-06,4.8,Positive,,Traveloka,2025-06-06 12:00:00
RV000104,BK100206,2025-06-13,4.3,Neutral,Elevator wait,Post-stay survey,2025-06-13 12:00:00
RV000105,BK100208,2025-06-08,3.9,Negative,Noise,Agoda,2025-06-08 12:00:00
RV000106,BK100210,2025-06-05,5.0,Positive,,Traveloka,2025-06-05 12:00:00
RV000107,BK100211,2025-06-11,4.2,Neutral,Breakfast queue,Agoda,2025-06-11 12:00:00
RV000108,BK100212,2025-06-08,4.6,Positive,,Agoda,2025-06-08 12:00:00
RV000109,BK100214,2025-06-12,4.1,Neutral,,Booking.com,2025-06-12 12:00:00
RV000110,BK100215,2025-06-07,5.0,Positive,,Booking.com,2025-06-07 12:00:00
RV000111,BK100216,2025-06-08,4.1,Neutral,Elevator wait,Booking.com,2025-06-08 12:00:00
RV000112,BK100220,2025-06-07,4.9,Positive,,Booking.com,2025-06-07 12:00:00
RV000113,BK100221,2025-06-06,4.4,Neutral,Elevator wait,Agoda,2025-06-06 12:00:00
RV000114,BK100229,2025-06-09,4.8,Positive,,Post-stay survey,2025-06-09 12:00:00
RV000115,BK100231,2025-06-14,4.6,Positive,,Post-stay survey,2025-06-14 12:00:00
RV000116,BK100235,2025-06-12,4.4,Neutral,,Post-stay survey,2025-06-12 12:00:00
RV000117,BK100238,2025-06-12,4.6,Positive,,Post-stay survey,2025-06-12 12:00:00
RV000118,BK100240,2025-06-09,4.2,Neutral,Breakfast queue,Other OTA,2025-06-09 12:00:00
RV000119,BK100241,2025-06-09,4.8,Positive,,Traveloka,2025-06-09 12:00:00
RV000120,BK100244,2025-06-11,4.0,Neutral,Room view expectation,Traveloka,2025-06-11 12:00:00
RV000121,BK100247,2025-06-13,4.9,Positive,,Post-stay survey,2025-06-13 12:00:00
RV000122,BK100248,2025-06-07,4.3,Neutral,,Booking.com,2025-06-07 12:00:00
RV000123,BK100249,2025-06-09,4.6,Positive,,Traveloka,2025-06-09 12:00:00
RV000124,BK100250,2025-06-12,4.9,Positive,,Agoda,2025-06-12 12:00:00
RV000125,BK100252,2025-06-13,4.6,Positive,,Booking.com,2025-06-13 12:00:00
RV000126,BK100254,2025-06-07,4.5,Positive,,Post-stay survey,2025-06-07 12:00:00
RV000127,BK100255,2025-06-09,4.4,Neutral,,Traveloka,2025-06-09 12:00:00
RV000128,BK100257,2025-06-10,4.3,Neutral,Breakfast queue,Post-stay survey,2025-06-10 12:00:00
RV000129,BK100258,2025-06-12,4.4,Neutral,Room view expectation,Post-stay survey,2025-06-12 12:00:00
RV000130,BK100259,2025-06-11,4.8,Positive,,Booking.com,2025-06-11 12:00:00
RV000131,BK100260,2025-06-09,4.9,Positive,,Agoda,2025-06-09 12:00:00
RV000132,BK100262,2025-06-09,4.6,Positive,,Traveloka,2025-06-09 12:00:00
RV000133,BK100266,2025-06-07,4.4,Neutral,Breakfast queue,Agoda,2025-06-07 12:00:00
RV000134,BK100267,2025-06-08,4.8,Positive,,Traveloka,2025-06-08 12:00:00
RV000135,BK100270,2025-06-07,5.0,Positive,,Booking.com,2025-06-07 12:00:00
RV000136,BK100271,2025-06-06,4.8,Positive,,Traveloka,2025-06-06 12:00:00
RV000137,BK100273,2025-06-08,4.1,Neutral,Elevator wait,Post-stay survey,2025-06-08 12:00:00
RV000138,BK100276,2025-06-05,4.3,Neutral,Elevator wait,Other OTA,2025-06-05 12:00:00
RV000139,BK100277,2025-06-12,4.4,Neutral,Breakfast queue,Booking.com,2025-06-12 12:00:00
RV000140,BK100278,2025-06-11,3.9,Negative,Check-in waiting time,Agoda,2025-06-11 12:00:00
RV000141,BK100279,2025-06-07,4.9,Positive,,Booking.com,2025-06-07 12:00:00
RV000142,BK100281,2025-06-08,4.1,Neutral,Room view expectation,Booking.com,2025-06-08 12:00:00
RV000143,BK100282,2025-06-07,4.6,Positive,,Post-stay survey,2025-06-07 12:00:00
RV000144,BK100283,2025-06-12,4.0,Neutral,,Post-stay survey,2025-06-12 12:00:00
RV000145,BK100288,2025-06-10,3.7,Negative,Air-conditioner issue,Agoda,2025-06-10 12:00:00
RV000146,BK100291,2025-06-12,4.3,Neutral,Elevator wait,Traveloka,2025-06-12 12:00:00
RV000147,BK100293,2025-06-14,4.5,Positive,,Traveloka,2025-06-14 12:00:00
RV000148,BK100295,2025-06-09,4.4,Neutral,,Post-stay survey,2025-06-09 12:00:00
RV000149,BK100298,2025-06-14,5.0,Positive,,Post-stay survey,2025-06-14 12:00:00
RV000150,BK100301,2025-06-08,4.5,Positive,,Traveloka,2025-06-08 12:00:00
RV000151,BK100302,2025-06-11,4.8,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000152,BK100305,2025-06-13,4.7,Positive,,Traveloka,2025-06-13 12:00:00
RV000153,BK100310,2025-06-11,4.3,Neutral,,Agoda,2025-06-11 12:00:00
RV000154,BK100311,2025-06-10,4.3,Neutral,Room view expectation,Agoda,2025-06-10 12:00:00
RV000155,BK100312,2025-06-07,4.3,Neutral,Elevator wait,Agoda,2025-06-07 12:00:00
RV000156,BK100316,2025-06-09,4.5,Positive,,Post-stay survey,2025-06-09 12:00:00
RV000157,BK100319,2025-06-11,3.8,Negative,Check-in waiting time,Agoda,2025-06-11 12:00:00
RV000158,BK100320,2025-06-08,4.3,Neutral,,Post-stay survey,2025-06-08 12:00:00
RV000159,BK100321,2025-06-07,4.3,Neutral,,Booking.com,2025-06-07 12:00:00
RV000160,BK100322,2025-06-11,4.9,Positive,,Agoda,2025-06-11 12:00:00
RV000161,BK100323,2025-06-10,4.6,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000162,BK100324,2025-06-14,4.3,Neutral,Room view expectation,Post-stay survey,2025-06-14 12:00:00
RV000163,BK100327,2025-06-10,4.8,Positive,,Agoda,2025-06-10 12:00:00
RV000164,BK100330,2025-06-11,4.4,Neutral,Room view expectation,Traveloka,2025-06-11 12:00:00
RV000165,BK100332,2025-06-10,4.4,Neutral,Room view expectation,Agoda,2025-06-10 12:00:00
RV000166,BK100333,2025-06-13,4.4,Neutral,Breakfast queue,Post-stay survey,2025-06-13 12:00:00
RV000167,BK100337,2025-06-07,4.7,Positive,,Traveloka,2025-06-07 12:00:00
RV000168,BK100339,2025-06-07,4.7,Positive,,Agoda,2025-06-07 12:00:00
RV000169,BK100343,2025-06-11,4.2,Neutral,,Booking.com,2025-06-11 12:00:00
RV000170,BK100345,2025-06-09,4.2,Neutral,Breakfast queue,Booking.com,2025-06-09 12:00:00
RV000171,BK100346,2025-06-13,4.2,Neutral,Elevator wait,Booking.com,2025-06-13 12:00:00
RV000172,BK100349,2025-06-10,5.0,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000173,BK100351,2025-06-12,5.0,Positive,,Traveloka,2025-06-12 12:00:00
RV000174,BK100353,2025-06-08,4.1,Neutral,Elevator wait,Agoda,2025-06-08 12:00:00
RV000175,BK100355,2025-06-11,4.6,Positive,,Booking.com,2025-06-11 12:00:00
RV000176,BK100356,2025-06-13,4.4,Neutral,,Agoda,2025-06-13 12:00:00
RV000177,BK100357,2025-06-09,4.6,Positive,,Post-stay survey,2025-06-09 12:00:00
RV000178,BK100359,2025-06-11,4.5,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000179,BK100362,2025-06-13,4.0,Neutral,,Booking.com,2025-06-13 12:00:00
RV000180,BK100363,2025-06-13,4.9,Positive,,Booking.com,2025-06-13 12:00:00
RV000181,BK100365,2025-06-09,4.8,Positive,,Post-stay survey,2025-06-09 12:00:00
RV000182,BK100366,2025-06-10,5.0,Positive,,Agoda,2025-06-10 12:00:00
RV000183,BK100368,2025-06-14,4.3,Neutral,Room view expectation,Post-stay survey,2025-06-14 12:00:00
RV000184,BK100372,2025-06-10,4.6,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000185,BK100373,2025-06-14,4.2,Neutral,Elevator wait,Booking.com,2025-06-14 12:00:00
RV000186,BK100374,2025-06-16,4.8,Positive,,Post-stay survey,2025-06-16 12:00:00
RV000187,BK100378,2025-06-14,4.4,Neutral,Breakfast queue,Agoda,2025-06-14 12:00:00
RV000188,BK100379,2025-06-11,4.4,Neutral,Breakfast queue,Traveloka,2025-06-11 12:00:00
RV000189,BK100380,2025-06-11,4.6,Positive,,Booking.com,2025-06-11 12:00:00
RV000190,BK100381,2025-06-08,4.8,Positive,,Agoda,2025-06-08 12:00:00
RV000191,BK100382,2025-06-14,4.3,Neutral,Breakfast queue,Traveloka,2025-06-14 12:00:00
RV000192,BK100383,2025-06-11,5.0,Positive,,Booking.com,2025-06-11 12:00:00
RV000193,BK100385,2025-06-08,5.0,Positive,,Agoda,2025-06-08 12:00:00
RV000194,BK100387,2025-06-13,4.6,Positive,,Agoda,2025-06-13 12:00:00
RV000195,BK100390,2025-06-11,4.0,Neutral,,Traveloka,2025-06-11 12:00:00
RV000196,BK100391,2025-06-14,4.7,Positive,,Post-stay survey,2025-06-14 12:00:00
RV000197,BK100392,2025-06-11,5.0,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000198,BK100393,2025-06-14,5.0,Positive,,Agoda,2025-06-14 12:00:00
RV000199,BK100398,2025-06-11,4.2,Neutral,Room view expectation,Agoda,2025-06-11 12:00:00
RV000200,BK100403,2025-06-14,4.5,Positive,,Post-stay survey,2025-06-14 12:00:00
RV000201,BK100405,2025-06-09,4.7,Positive,,Traveloka,2025-06-09 12:00:00
RV000202,BK100406,2025-06-10,4.6,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000203,BK100411,2025-06-13,4.7,Positive,,Post-stay survey,2025-06-13 12:00:00
RV000204,BK100412,2025-06-15,4.4,Neutral,Elevator wait,Post-stay survey,2025-06-15 12:00:00
RV000205,BK100413,2025-06-15,5.0,Positive,,Booking.com,2025-06-15 12:00:00
RV000206,BK100416,2025-06-13,5.0,Positive,,Post-stay survey,2025-06-13 12:00:00
RV000207,BK100417,2025-06-15,4.6,Positive,,Traveloka,2025-06-15 12:00:00
RV000208,BK100424,2025-06-09,4.6,Positive,,Agoda,2025-06-09 12:00:00
RV000209,BK100426,2025-06-14,4.7,Positive,,Agoda,2025-06-14 12:00:00
RV000210,BK100428,2025-06-12,4.4,Neutral,,Post-stay survey,2025-06-12 12:00:00
RV000211,BK100431,2025-06-14,4.1,Neutral,Room view expectation,Post-stay survey,2025-06-14 12:00:00
RV000212,BK100432,2025-06-11,5.0,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000213,BK100433,2025-06-09,4.8,Positive,,Post-stay survey,2025-06-09 12:00:00
RV000214,BK100436,2025-06-10,4.6,Positive,,Agoda,2025-06-10 12:00:00
RV000215,BK100437,2025-06-14,4.6,Positive,,Agoda,2025-06-14 12:00:00
RV000216,BK100438,2025-06-10,4.2,Neutral,,Post-stay survey,2025-06-10 12:00:00
RV000217,BK100439,2025-06-15,4.8,Positive,,Traveloka,2025-06-15 12:00:00
RV000218,BK100440,2025-06-16,5.0,Positive,,Other OTA,2025-06-16 12:00:00
RV000219,BK100443,2025-06-13,4.7,Positive,,Traveloka,2025-06-13 12:00:00
RV000220,BK100444,2025-06-12,3.7,Negative,Noise,Booking.com,2025-06-12 12:00:00
RV000221,BK100447,2025-06-10,4.4,Neutral,,Traveloka,2025-06-10 12:00:00
RV000222,BK100448,2025-06-14,4.9,Positive,,Agoda,2025-06-14 12:00:00
RV000223,BK100450,2025-06-11,4.5,Positive,,Traveloka,2025-06-11 12:00:00
RV000224,BK100452,2025-06-13,4.6,Positive,,Post-stay survey,2025-06-13 12:00:00
RV000225,BK100453,2025-06-11,4.4,Neutral,Breakfast queue,Other OTA,2025-06-11 12:00:00
RV000226,BK100455,2025-06-15,4.5,Positive,,Agoda,2025-06-15 12:00:00
RV000227,BK100456,2025-06-09,4.6,Positive,,Traveloka,2025-06-09 12:00:00
RV000228,BK100457,2025-06-09,4.7,Positive,,Agoda,2025-06-09 12:00:00
RV000229,BK100459,2025-06-10,4.6,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000230,BK100460,2025-06-12,4.2,Neutral,,Post-stay survey,2025-06-12 12:00:00
RV000231,BK100463,2025-06-14,4.2,Neutral,,Booking.com,2025-06-14 12:00:00
RV000232,BK100464,2025-06-10,4.6,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000233,BK100465,2025-06-15,4.3,Neutral,Elevator wait,Agoda,2025-06-15 12:00:00
RV000234,BK100468,2025-06-12,4.8,Positive,,Post-stay survey,2025-06-12 12:00:00
RV000235,BK100471,2025-06-13,3.9,Negative,Room cleaning delay,Post-stay survey,2025-06-13 12:00:00
RV000236,BK100472,2025-06-10,4.0,Neutral,Elevator wait,Traveloka,2025-06-10 12:00:00
RV000237,BK100476,2025-06-11,4.5,Positive,,Agoda,2025-06-11 12:00:00
RV000238,BK100477,2025-06-13,4.2,Neutral,Room view expectation,Traveloka,2025-06-13 12:00:00
RV000239,BK100478,2025-06-09,3.9,Negative,Air-conditioner issue,Post-stay survey,2025-06-09 12:00:00
RV000240,BK100479,2025-06-11,4.3,Neutral,Elevator wait,Post-stay survey,2025-06-11 12:00:00
RV000241,BK100480,2025-06-11,4.1,Neutral,,Agoda,2025-06-11 12:00:00
RV000242,BK100481,2025-06-08,4.5,Positive,,Post-stay survey,2025-06-08 12:00:00
RV000243,BK100485,2025-06-12,4.2,Neutral,Room view expectation,Traveloka,2025-06-12 12:00:00
RV000244,BK100486,2025-06-10,4.3,Neutral,Room view expectation,Traveloka,2025-06-10 12:00:00
RV000245,BK100489,2025-06-11,5.0,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000246,BK100490,2025-06-11,4.0,Neutral,Elevator wait,Agoda,2025-06-11 12:00:00
RV000247,BK100492,2025-06-13,4.1,Neutral,Elevator wait,Booking.com,2025-06-13 12:00:00
RV000248,BK100493,2025-06-08,4.4,Neutral,Room view expectation,Post-stay survey,2025-06-08 12:00:00
RV000249,BK100494,2025-06-16,4.3,Neutral,Elevator wait,Post-stay survey,2025-06-16 12:00:00
RV000250,BK100496,2025-06-10,4.6,Positive,,Other OTA,2025-06-10 12:00:00
RV000251,BK100497,2025-06-12,4.5,Positive,,Traveloka,2025-06-12 12:00:00
RV000252,BK100498,2025-06-12,4.9,Positive,,Post-stay survey,2025-06-12 12:00:00
RV000253,BK100500,2025-06-16,4.5,Positive,,Booking.com,2025-06-16 12:00:00
RV000254,BK100502,2025-06-14,4.7,Positive,,Booking.com,2025-06-14 12:00:00
RV000255,BK100503,2025-06-15,4.6,Positive,,Booking.com,2025-06-15 12:00:00
RV000256,BK100505,2025-06-12,5.0,Positive,,Post-stay survey,2025-06-12 12:00:00
RV000257,BK100506,2025-06-10,4.5,Positive,,Agoda,2025-06-10 12:00:00
RV000258,BK100507,2025-06-15,4.7,Positive,,Post-stay survey,2025-06-15 12:00:00
RV000259,BK100509,2025-06-09,4.3,Neutral,,Post-stay survey,2025-06-09 12:00:00
RV000260,BK100510,2025-06-09,3.7,Negative,Check-in waiting time,Agoda,2025-06-09 12:00:00
RV000261,BK100512,2025-06-13,4.3,Neutral,Breakfast queue,Booking.com,2025-06-13 12:00:00
RV000262,BK100514,2025-06-13,4.4,Neutral,Elevator wait,Booking.com,2025-06-13 12:00:00
RV000263,BK100517,2025-06-10,4.6,Positive,,Other OTA,2025-06-10 12:00:00
RV000264,BK100519,2025-06-13,4.9,Positive,,Traveloka,2025-06-13 12:00:00
RV000265,BK100520,2025-06-12,4.2,Neutral,,Traveloka,2025-06-12 12:00:00
RV000266,BK100523,2025-06-09,4.8,Positive,,Agoda,2025-06-09 12:00:00
RV000267,BK100524,2025-06-15,4.2,Neutral,Breakfast queue,Traveloka,2025-06-15 12:00:00
RV000268,BK100526,2025-06-14,3.9,Negative,OTA price mismatch,Booking.com,2025-06-14 12:00:00
RV000269,BK100527,2025-06-10,4.7,Positive,,Agoda,2025-06-10 12:00:00
RV000270,BK100529,2025-06-12,4.4,Neutral,,Booking.com,2025-06-12 12:00:00
RV000271,BK100530,2025-06-12,5.0,Positive,,Post-stay survey,2025-06-12 12:00:00
RV000272,BK100532,2025-06-15,4.0,Neutral,Breakfast queue,Other OTA,2025-06-15 12:00:00
RV000273,BK100534,2025-06-14,4.9,Positive,,Agoda,2025-06-14 12:00:00
RV000274,BK100535,2025-06-16,5.0,Positive,,Traveloka,2025-06-16 12:00:00
RV000275,BK100538,2025-06-15,4.6,Positive,,Post-stay survey,2025-06-15 12:00:00
RV000276,BK100539,2025-06-15,4.5,Positive,,Agoda,2025-06-15 12:00:00
RV000277,BK100540,2025-06-14,4.7,Positive,,Booking.com,2025-06-14 12:00:00
RV000278,BK100541,2025-06-16,4.0,Neutral,Room view expectation,Traveloka,2025-06-16 12:00:00
RV000279,BK100542,2025-06-13,4.1,Neutral,Elevator wait,Agoda,2025-06-13 12:00:00
RV000280,BK100543,2025-06-12,5.0,Positive,,Post-stay survey,2025-06-12 12:00:00
RV000281,BK100545,2025-06-13,4.5,Positive,,Post-stay survey,2025-06-13 12:00:00
RV000282,BK100546,2025-06-17,5.0,Positive,,Agoda,2025-06-17 12:00:00
RV000283,BK100548,2025-06-12,4.6,Positive,,Traveloka,2025-06-12 12:00:00
RV000284,BK100549,2025-06-15,4.8,Positive,,Booking.com,2025-06-15 12:00:00
RV000285,BK100550,2025-06-10,4.8,Positive,,Booking.com,2025-06-10 12:00:00
RV000286,BK100551,2025-06-14,4.4,Neutral,Room view expectation,Post-stay survey,2025-06-14 12:00:00
RV000287,BK100556,2025-06-14,4.0,Neutral,,Post-stay survey,2025-06-14 12:00:00
RV000288,BK100557,2025-06-17,4.6,Positive,,Post-stay survey,2025-06-17 12:00:00
RV000289,BK100561,2025-06-14,4.6,Positive,,Other OTA,2025-06-14 12:00:00
RV000290,BK100563,2025-06-10,4.3,Neutral,Breakfast queue,Agoda,2025-06-10 12:00:00
