booking_id,customer_id,booking_date,checkin_date,checkout_date,stay_nights,room_type_id,channel_id,segment_id,promotion_id,adults,children,lead_time_days,booking_status,cancellation_date,cancellation_reason,listed_room_revenue,gross_room_revenue,commission_amount,promotion_cost,breakfast_cost,housekeeping_cost,utilities_cost,room_amenity_cost,net_room_revenue,contribution_profit,payment_currency,created_at,updated_at
BK100023,C508152,2025-04-11,2025-06-01,2025-06-03,2,1,1,9,0,2,0,51,CONFIRMED,,,2970000,2970000,534600,0,460000,366400,370600,216000,2435400,1022400,VND,2025-04-11 10:22:00,2025-04-11 10:56:00
BK100024,C536856,2025-04-25,2025-06-01,2025-06-04,3,1,2,6,4,2,0,37,CONFIRMED,,,4540000,4090000,818000,450000,690000,549600,528400,324000,3272000,730000,VND,2025-04-25 10:55:00,2025-04-25 10:37:00
BK100025,C558762,2025-05-03,2025-06-01,2025-06-04,3,1,5,3,4,2,0,29,CONFIRMED,,,4340000,3900000,0,440000,690000,549600,528400,324000,3900000,1368000,VND,2025-05-03 10:46:00,2025-05-03 10:50:00
BK100026,C512589,2025-05-11,2025-06-01,2025-06-04,3,1,4,2,2,2,0,21,CONFIRMED,,,4630000,4070000,691900,392000,690000,549600,528400,324000,3378100,894100,VND,2025-05-11 10:41:00,2025-05-11 10:24:00
BK100027,C516683,2025-04-12,2025-06-01,2025-06-03,2,1,7,1,5,2,0,50,CONFIRMED,,,2640000,2460000,246000,180000,0,366400,370600,216000,2214000,1081000,VND,2025-04-12 10:32:00,2025-04-12 10:49:00
BK100028,C541326,2025-04-26,2025-06-01,2025-06-04,3,1,2,5,4,2,0,36,CONFIRMED,,,4610000,4150000,830000,460000,690000,549600,528400,324000,3320000,768000,VND,2025-04-26 10:21:00,2025-04-26 10:08:00
BK100029,C556773,2025-05-17,2025-06-01,2025-06-02,1,1,3,1,2,2,0,15,CONFIRMED,,,1650000,1450000,217500,140000,230000,183200,212800,108000,1232500,358500,VND,2025-05-17 10:44:00,2025-05-17 10:31:00
BK100030,C541826,2025-05-09,2025-06-01,2025-06-03,2,1,2,1,2,2,0,23,CONFIRMED,,,3150000,2780000,556000,259000,460000,366400,370600,216000,2224000,552000,VND,2025-05-09 10:28:00,2025-05-09 10:07:00
BK100031,C554818,2025-03-25,2025-06-01,2025-06-06,5,1,1,9,0,2,0,68,CONFIRMED,,,7150000,7150000,1287000,0,1150000,916000,844000,540000,5863000,2413000,VND,2025-03-25 10:39:00,2025-03-25 10:37:00
BK100032,C568610,2025-05-20,2025-06-01,2025-06-03,2,1,5,2,3,2,0,12,CONFIRMED,,,3080000,2930000,0,150000,460000,366400,370600,216000,2930000,1367000,VND,2025-05-20 10:53:00,2025-05-20 10:29:00
BK100033,C564511,2025-03-08,2025-06-01,2025-06-04,3,1,5,9,0,2,0,85,CONFIRMED,,,4330000,4330000,0,0,690000,549600,528400,324000,4330000,2238000,VND,2025-03-08 10:47:00,2025-03-08 10:44:00
BK100034,C557290,2025-05-09,2025-06-01,2025-06-02,1,1,3,1,2,2,0,23,CONFIRMED,,,1700000,1490000,223500,147000,230000,183200,212800,108000,1266500,385500,VND,2025-05-09 10:18:00,2025-05-09 10:40:00
BK100035,C517719,2025-04-15,2025-06-01,2025-06-03,2,1,7,9,5,2,0,47,CONFIRMED,,,2680000,2490000,249000,190000,0,366400,370600,216000,2241000,1098000,VND,2025-04-15 10:08:00,2025-04-15 10:57:00
BK100036,C545970,2025-05-05,2025-06-01,2025-06-05,4,1,4,5,2,2,0,27,CONFIRMED,,,6030000,5320000,904400,497000,920000,732800,686200,432000,4415600,1147600,VND,2025-05-05 10:44:00,2025-05-05 10:22:00
BK100037,C570694,2025-04-17,2025-06-01,2025-06-03,2,1,4,3,0,2,0,45,CONFIRMED,,,2920000,2920000,496400,0,460000,366400,370600,216000,2423600,1010600,VND,2025-04-17 10:32:00,2025-04-17 10:01:00
BK100038,C578121,2025-03-27,2025-06-01,2025-06-04,3,1,2,6,4,2,0,66,CONFIRMED,,,4310000,3880000,776000,430000,690000,549600,528400,324000,3104000,582000,VND,2025-03-27 10:52:00,2025-03-27 10:11:00
BK100039,C570037,2025-05-12,2025-06-01,2025-06-02,1,1,3,2,0,2,0,20,CONFIRMED,,,1630000,1630000,244500,0,230000,183200,212800,108000,1385500,651500,VND,2025-05-12 10:19:00,2025-05-12 10:17:00
BK100040,C580800,2025-04-24,2025-06-01,2025-06-02,1,1,2,8,0,1,0,38,CONFIRMED,,,1680000,1680000,336000,0,115000,183200,212800,80000,1344000,753000,VND,2025-04-24 10:14:00,2025-04-24 10:57:00
BK100041,C568072,2025-05-12,2025-06-01,2025-06-04,3,1,1,2,2,2,0,20,CONFIRMED,,,4700000,4130000,743400,399000,690000,549600,528400,324000,3386600,895600,VND,2025-05-12 10:18:00,2025-05-12 10:30:00
BK100042,C526456,2025-05-15,2025-06-01,2025-06-03,2,1,5,2,3,2,0,17,CONFIRMED,,,3050000,2890000,0,160000,460000,366400,370600,216000,2890000,1317000,VND,2025-05-15 10:59:00,2025-05-15 10:15:00
BK100043,C548341,2025-04-21,2025-06-01,2025-06-06,5,1,3,7,0,2,0,41,CONFIRMED,,,7580000,7580000,1137000,0,1150000,916000,844000,540000,6443000,2993000,VND,2025-04-21 10:22:00,2025-04-21 10:34:00
BK100044,C531941,2025-04-29,2025-06-01,2025-06-04,3,1,2,5,0,2,0,33,CONFIRMED,,,4590000,4590000,918000,0,690000,549600,528400,324000,3672000,1580000,VND,2025-04-29 10:00:00,2025-04-29 10:05:00
BK100045,C555196,2025-03-16,2025-06-01,2025-06-05,4,1,2,6,2,2,0,77,CONFIRMED,,,5750000,5070000,1014000,476000,920000,732800,686200,432000,4056000,809000,VND,2025-03-16 10:18:00,2025-03-16 10:10:00
BK100046,C508128,2025-05-11,2025-06-01,2025-06-02,1,1,2,1,0,2,0,21,CONFIRMED,,,1670000,1670000,334000,0,230000,183200,212800,108000,1336000,602000,VND,2025-05-11 10:24:00,2025-05-11 10:39:00
BK100047,C547319,2025-04-20,2025-06-01,2025-06-03,2,1,3,9,0,2,0,42,CONFIRMED,,,3110000,3110000,466500,0,460000,366400,370600,216000,2643500,1230500,VND,2025-04-20 10:05:00,2025-04-20 10:46:00
BK100048,C576080,2025-05-25,2025-06-01,2025-06-03,2,1,4,2,0,2,0,7,CONFIRMED,,,3100000,3100000,527000,0,460000,366400,370600,216000,2573000,1160000,VND,2025-05-25 10:49:00,2025-05-25 10:32:00
BK100049,C526951,2025-05-20,2025-06-01,2025-06-04,3,1,3,3,2,2,0,12,CONFIRMED,,,4530000,3980000,597000,385000,690000,549600,528400,324000,3383000,906000,VND,2025-05-20 10:24:00,2025-05-20 10:29:00
BK100050,C507099,2025-04-12,2025-06-01,2025-06-03,2,1,4,5,2,2,0,50,CONFIRMED,,,3020000,2660000,452200,252000,460000,366400,370600,216000,2207800,542800,VND,2025-04-12 10:35:00,2025-04-12 10:05:00
BK100051,C582319,2025-04-28,2025-06-01,2025-06-02,1,1,2,5,0,2,0,34,CONFIRMED,,,1630000,1630000,326000,0,230000,183200,212800,108000,1304000,570000,VND,2025-04-28 10:46:00,2025-04-28 10:57:00
BK100052,C564274,2025-03-13,2025-06-01,2025-06-02,1,2,5,5,0,2,0,80,CONFIRMED,,,1860000,1860000,0,0,230000,187000,218000,108000,1860000,1117000,VND,2025-03-13 10:48:00,2025-03-13 10:57:00
BK100053,C526329,2025-05-17,2025-06-01,2025-06-04,3,2,5,3,4,2,0,15,CONFIRMED,,,5570000,5020000,0,550000,690000,561000,544000,324000,5020000,2351000,VND,2025-05-17 10:37:00,2025-05-17 10:29:00
BK100054,C566310,2025-03-18,2025-06-01,2025-06-04,3,2,2,6,2,2,0,75,CONFIRMED,,,5390000,4750000,950000,448000,690000,561000,544000,324000,3800000,1233000,VND,2025-03-18 10:43:00,2025-03-18 10:36:00
BK100055,C572004,2025-05-04,2025-06-01,2025-06-03,2,2,3,2,3,2,0,28,CONFIRMED,,,3830000,3640000,546000,190000,460000,374000,381000,216000,3094000,1473000,VND,2025-05-04 10:30:00,2025-05-04 10:19:00
BK100056,C577569,2025-05-07,2025-06-01,2025-06-03,2,2,5,2,1,2,0,25,CONFIRMED,,,3730000,3440000,0,290000,460000,374000,381000,216000,3440000,1719000,VND,2025-05-07 10:25:00,2025-05-07 10:09:00
BK100057,C560203,2025-04-18,2025-06-01,2025-06-03,2,2,6,2,0,2,0,44,CONFIRMED,,,3680000,3680000,0,0,460000,374000,381000,216000,3680000,2249000,VND,2025-04-18 10:22:00,2025-04-18 10:44:00
BK100058,C534605,2025-03-26,2025-06-01,2025-06-05,4,2,2,5,0,2,0,67,CONFIRMED,,,7150000,7150000,1430000,0,920000,748000,707000,432000,5720000,2913000,VND,2025-03-26 10:12:00,2025-03-26 10:02:00
BK100059,C515658,2025-04-19,2025-06-01,2025-06-05,4,2,1,7,2,2,0,43,CONFIRMED,,,7610000,6680000,1202400,651000,920000,748000,707000,432000,5477600,2019600,VND,2025-04-19 10:26:00,2025-04-19 10:19:00
BK100060,C581881,2025-04-27,2025-06-01,2025-06-02,1,2,2,1,0,2,0,35,CONFIRMED,,,2010000,2010000,402000,0,230000,187000,218000,108000,1608000,865000,VND,2025-04-27 10:24:00,2025-04-27 10:08:00
BK100061,C549867,2025-03-27,2025-06-01,2025-06-04,3,2,7,3,4,2,0,66,CONFIRMED,,,4740000,4270000,427000,470000,0,561000,544000,324000,3843000,1944000,VND,2025-03-27 10:28:00,2025-03-27 10:04:00
BK100062,C530553,2025-02-20,2025-06-01,2025-06-04,3,2,7,9,0,2,0,101,CONFIRMED,,,4790000,4790000,479000,0,0,561000,544000,324000,4311000,2882000,VND,2025-02-20 10:16:00,2025-02-20 10:20:00
BK100063,C579210,2025-04-21,2025-06-01,2025-06-04,3,2,7,2,3,2,0,41,CONFIRMED,,,5040000,4790000,479000,250000,690000,561000,544000,324000,4311000,1942000,VND,2025-04-21 10:20:00,2025-04-21 10:25:00
BK100064,C543738,2025-05-10,2025-06-01,2025-06-02,1,2,1,2,0,2,0,22,CONFIRMED,,,2110000,2110000,379800,0,230000,187000,218000,108000,1730200,987200,VND,2025-05-10 10:34:00,2025-05-10 10:27:00
BK100065,C563607,2025-05-07,2025-06-01,2025-06-02,1,2,3,1,0,2,0,25,CONFIRMED,,,2070000,2070000,310500,0,230000,187000,218000,108000,1759500,1016500,VND,2025-05-07 10:18:00,2025-05-07 10:05:00
BK100066,C555574,2025-03-18,2025-06-01,2025-06-04,3,2,2,5,2,2,0,75,CONFIRMED,,,5420000,4760000,952000,462000,690000,561000,544000,324000,3808000,1227000,VND,2025-03-18 10:14:00,2025-03-18 10:12:00
BK100067,C587471,2025-04-13,2025-06-01,2025-06-02,1,2,1,8,0,1,0,49,CONFIRMED,,,1970000,1970000,354600,0,115000,187000,218000,80000,1615400,1015400,VND,2025-04-13 10:56:00,2025-04-13 10:53:00
BK100068,C521977,2025-05-16,2025-06-01,2025-06-02,1,2,1,1,2,2,0,16,CONFIRMED,,,2080000,1830000,329400,175000,230000,187000,218000,108000,1500600,582600,VND,2025-05-16 10:08:00,2025-05-16 10:36:00
BK100069,C570216,2025-04-13,2025-06-01,2025-06-03,2,2,1,1,0,2,0,49,CONFIRMED,,,3770000,3770000,678600,0,460000,374000,381000,216000,3091400,1660400,VND,2025-04-13 10:05:00,2025-04-13 10:34:00
BK100070,C504392,2025-04-26,2025-06-01,2025-06-03,2,2,5,2,1,2,0,36,CONFIRMED,,,3700000,3410000,0,290000,460000,374000,381000,216000,3410000,1689000,VND,2025-04-26 10:56:00,2025-04-26 10:20:00
BK100071,C587273,2025-04-04,2025-06-01,2025-06-02,1,2,7,1,5,2,0,58,CONFIRMED,,,1700000,1580000,158000,120000,0,187000,218000,108000,1422000,789000,VND,2025-04-04 10:25:00,2025-04-04 10:29:00
BK100072,C556140,2025-04-22,2025-06-01,2025-06-02,1,2,3,5,0,2,0,40,CONFIRMED,,,2020000,2020000,303000,0,230000,187000,218000,108000,1717000,974000,VND,2025-04-22 10:52:00,2025-04-22 10:13:00
BK100073,C543191,2025-05-11,2025-06-01,2025-06-03,2,2,5,2,0,2,0,21,CONFIRMED,,,3700000,3700000,0,0,460000,374000,381000,216000,3700000,2269000,VND,2025-05-11 10:35:00,2025-05-11 10:45:00
BK100074,C523629,2025-04-15,2025-06-01,2025-06-05,4,2,2,7,0,2,0,47,CONFIRMED,,,7200000,7200000,1440000,0,920000,748000,707000,432000,5760000,2953000,VND,2025-04-15 10:13:00,2025-04-15 10:20:00
BK100075,C539208,2025-04-29,2025-06-01,2025-06-02,1,2,4,2,0,2,0,33,CONFIRMED,,,2130000,2130000,362100,0,230000,187000,218000,108000,1767900,1024900,VND,2025-04-29 10:10:00,2025-04-29 10:03:00
BK100076,C505484,2025-04-27,2025-06-01,2025-06-02,1,2,1,1,0,2,0,35,CONFIRMED,,,2090000,2090000,376200,0,230000,187000,218000,108000,1713800,970800,VND,2025-04-27 10:52:00,2025-04-27 10:00:00
BK100077,C501941,2025-04-15,2025-06-01,2025-06-05,4,2,1,7,0,2,0,47,CONFIRMED,,,7260000,7260000,1306800,0,920000,748000,707000,432000,5953200,3146200,VND,2025-04-15 10:54:00,2025-04-15 10:45:00
BK100078,C503625,2025-03-29,2025-06-01,2025-06-06,5,2,2,6,2,2,0,64,CONFIRMED,,,9060000,7980000,1596000,756000,1150000,935000,870000,540000,6384000,2133000,VND,2025-03-29 10:25:00,2025-03-29 10:49:00
BK100079,C546538,2025-05-03,2025-06-01,2025-06-03,2,2,3,9,2,2,0,29,CONFIRMED,,,3790000,3340000,501000,315000,460000,374000,381000,216000,2839000,1093000,VND,2025-05-03 10:34:00,2025-05-03 10:25:00
BK100080,C540809,2025-04-25,2025-06-01,2025-06-03,2,2,5,6,1,2,0,37,CONFIRMED,,,3760000,3450000,0,310000,460000,374000,381000,216000,3450000,1709000,VND,2025-04-25 10:45:00,2025-04-25 10:23:00
BK100081,C541793,2025-05-15,2025-06-01,2025-06-03,2,2,3,2,0,2,0,17,CONFIRMED,,,3810000,3810000,571500,0,460000,374000,381000,216000,3238500,1807500,VND,2025-05-15 10:55:00,2025-05-15 10:55:00
BK100082,C581383,2025-03-03,2025-06-01,2025-06-02,1,2,2,5,0,2,0,90,CONFIRMED,,,1910000,1910000,382000,0,230000,187000,218000,108000,1528000,785000,VND,2025-03-03 10:56:00,2025-03-03 10:49:00
BK100083,C577986,2025-05-09,2025-06-01,2025-06-03,2,2,1,1,2,2,0,23,CONFIRMED,,,3900000,3430000,617400,329000,460000,374000,381000,216000,2812600,1052600,VND,2025-05-09 10:09:00,2025-05-09 10:54:00
BK100084,C552456,2025-04-19,2025-06-01,2025-06-03,2,2,5,3,0,2,0,43,CONFIRMED,,,3790000,3790000,0,0,460000,374000,381000,216000,3790000,2359000,VND,2025-04-19 10:45:00,2025-04-19 10:51:00
BK100085,C546148,2025-04-13,2025-06-01,2025-06-03,2,2,5,6,0,2,0,49,CONFIRMED,,,3500000,3500000,0,0,460000,374000,381000,216000,3500000,2069000,VND,2025-04-13 10:31:00,2025-04-13 10:58:00
BK100086,C519198,2025-04-20,2025-06-01,2025-06-04,3,2,3,6,0,2,0,42,CONFIRMED,,,5730000,5730000,859500,0,690000,561000,544000,324000,4870500,2751500,VND,2025-04-20 10:16:00,2025-04-20 10:21:00
BK100087,C523647,2025-04-24,2025-06-01,2025-06-02,1,2,3,5,2,2,0,38,CONFIRMED,,,2020000,1780000,267000,168000,230000,187000,218000,108000,1513000,602000,VND,2025-04-24 10:28:00,2025-04-24 10:10:00
BK100088,C514017,2025-04-15,2025-06-01,2025-06-03,2,2,2,2,3,2,0,47,CONFIRMED,,,3600000,3430000,686000,170000,460000,374000,381000,216000,2744000,1143000,VND,2025-04-15 10:18:00,2025-04-15 10:09:00
BK100089,C516455,2025-04-04,2025-06-01,2025-06-03,2,2,7,3,5,2,0,58,CONFIRMED,,,3370000,3130000,313000,240000,0,374000,381000,216000,2817000,1606000,VND,2025-04-04 10:30:00,2025-04-04 10:31:00
BK100090,C537471,2025-04-25,2025-06-01,2025-06-04,3,2,1,9,4,2,0,37,CONFIRMED,,,5730000,5160000,928800,570000,690000,561000,544000,324000,4231200,1542200,VND,2025-04-25 10:47:00,2025-04-25 10:21:00
BK100091,C500499,2025-05-16,2025-06-01,2025-06-04,3,2,1,2,0,2,0,16,CONFIRMED,,,5650000,5650000,1017000,0,690000,561000,544000,324000,4633000,2514000,VND,2025-05-16 10:46:00,2025-05-16 10:33:00
BK100092,C521926,2025-05-23,2025-06-01,2025-06-02,1,2,5,4,0,1,0,9,CONFIRMED,,,2020000,2020000,0,0,115000,187000,218000,80000,2020000,1420000,VND,2025-05-23 10:19:00,2025-05-23 10:09:00
BK100093,C584243,2025-04-14,2025-06-01,2025-06-03,2,2,1,2,0,2,0,48,CONFIRMED,,,3630000,3630000,653400,0,460000,374000,381000,216000,2976600,1545600,VND,2025-04-14 10:39:00,2025-04-14 10:04:00
BK100094,C580010,2025-04-06,2025-06-01,2025-06-06,5,2,1,5,0,2,0,56,CONFIRMED,,,8950000,8950000,1611000,0,1150000,935000,870000,540000,7339000,3844000,VND,2025-04-06 10:23:00,2025-04-06 10:32:00
BK100095,C509408,2025-04-28,2025-06-01,2025-06-04,3,2,7,3,4,2,0,34,CONFIRMED,,,5100000,4590000,459000,510000,0,561000,544000,324000,4131000,2192000,VND,2025-04-28 10:36:00,2025-04-28 10:22:00
BK100096,C545105,2025-04-30,2025-06-01,2025-06-04,3,2,5,3,0,2,0,32,CONFIRMED,,,5500000,5500000,0,0,690000,561000,544000,324000,5500000,3381000,VND,2025-04-30 10:12:00,2025-04-30 10:31:00
BK100097,C558634,2025-04-07,2025-06-01,2025-06-03,2,2,5,1,1,2,0,55,CONFIRMED,,,3560000,3280000,0,280000,460000,374000,381000,216000,3280000,1569000,VND,2025-04-07 10:57:00,2025-04-07 10:14:00
BK100098,C522004,2025-04-27,2025-06-01,2025-06-03,2,2,2,2,3,2,0,35,CONFIRMED,,,3760000,3570000,714000,190000,460000,374000,381000,216000,2856000,1235000,VND,2025-04-27 10:18:00,2025-04-27 10:15:00
BK100099,C520388,2025-05-27,2025-06-01,2025-06-03,2,2,1,1,0,2,0,5,CONFIRMED,,,3970000,3970000,714600,0,460000,374000,381000,216000,3255400,1824400,VND,2025-05-27 10:26:00,2025-05-27 10:10:00
BK100100,C566289,2025-05-30,2025-06-01,2025-06-02,1,2,2,4,2,1,0,2,CONFIRMED,,,2220000,1960000,392000,182000,115000,187000,218000,80000,1568000,786000,VND,2025-05-30 10:14:00,2025-05-30 10:21:00
BK100101,C572713,2025-04-22,2025-06-01,2025-06-03,2,3,2,5,0,2,0,40,CONFIRMED,,,4780000,4780000,956000,0,460000,381600,391400,216000,3824000,2375000,VND,2025-04-22 10:51:00,2025-04-22 10:48:00
BK100102,C560778,2025-04-27,2025-06-01,2025-06-03,2,3,5,2,3,2,1,35,CONFIRMED,,,4580000,4340000,0,240000,610000,381600,391400,272000,4340000,2445000,VND,2025-04-27 10:15:00,2025-04-27 10:32:00
BK100103,C527255,2025-05-15,2025-06-01,2025-06-06,5,3,1,3,0,3,0,17,CONFIRMED,,,11710000,11710000,2107800,0,1725000,954000,896000,680000,9602200,5347200,VND,2025-05-15 10:59:00,2025-05-15 10:27:00
BK100104,C552674,2025-05-11,2025-06-01,2025-06-02,1,3,1,1,0,2,0,21,CONFIRMED,,,2660000,2660000,478800,0,230000,190800,223200,108000,2181200,1429200,VND,2025-05-11 10:12:00,2025-05-11 10:23:00
BK100105,C530999,2025-04-15,2025-06-01,2025-06-04,3,3,3,6,4,3,0,47,CONFIRMED,,,6750000,6080000,912000,670000,1035000,572400,559600,408000,5168000,1923000,VND,2025-04-15 10:03:00,2025-04-15 10:55:00
BK100106,C564087,2025-04-01,2025-06-01,2025-06-03,2,3,7,2,0,2,1,61,CONFIRMED,,,4180000,4180000,418000,0,0,381600,391400,272000,3762000,2717000,VND,2025-04-01 10:31:00,2025-04-01 10:21:00
BK100107,C530578,2025-03-08,2025-06-01,2025-06-03,2,3,2,6,2,3,0,85,CONFIRMED,,,4660000,4100000,820000,392000,690000,381600,391400,272000,3280000,1153000,VND,2025-03-08 10:24:00,2025-03-08 10:08:00
BK100108,C564930,2025-05-07,2025-06-01,2025-06-04,3,3,2,7,4,2,0,25,CONFIRMED,,,7190000,6480000,1296000,710000,690000,572400,559600,324000,5184000,2328000,VND,2025-05-07 10:01:00,2025-05-07 10:19:00
BK100109,C544087,2025-03-28,2025-06-01,2025-06-05,4,3,2,6,2,3,0,65,CONFIRMED,,,8970000,7890000,1578000,756000,1380000,763200,727800,544000,6312000,2141000,VND,2025-03-28 10:09:00,2025-03-28 10:47:00
BK100110,C500846,2025-04-28,2025-06-01,2025-06-02,1,3,2,1,2,2,0,34,CONFIRMED,,,2530000,2230000,446000,210000,230000,190800,223200,108000,1784000,822000,VND,2025-04-28 10:54:00,2025-04-28 10:05:00
BK100111,C507757,2025-03-11,2025-06-01,2025-06-02,1,3,7,1,0,2,0,82,CONFIRMED,,,2200000,2200000,220000,0,0,190800,223200,108000,1980000,1458000,VND,2025-03-11 10:40:00,2025-03-11 10:20:00
BK100112,C500155,2025-05-20,2025-06-01,2025-06-02,1,3,3,1,2,2,0,12,CONFIRMED,,,2620000,2310000,346500,217000,230000,190800,223200,108000,1963500,994500,VND,2025-05-20 10:58:00,2025-05-20 10:16:00
BK100113,C549978,2025-04-14,2025-06-01,2025-06-03,2,3,2,5,0,2,0,48,CONFIRMED,,,4770000,4770000,954000,0,460000,381600,391400,216000,3816000,2367000,VND,2025-04-14 10:10:00,2025-04-14 10:21:00
BK100114,C544121,2025-05-02,2025-06-01,2025-06-03,2,3,5,2,0,2,1,30,CONFIRMED,,,4770000,4770000,0,0,610000,381600,391400,272000,4770000,3115000,VND,2025-05-02 10:30:00,2025-05-02 10:38:00
