room_revenue_id,date_key,stay_date,room_type_id,channel_id,segment_id,promotion_id,rooms_sold,listed_room_revenue,gross_room_revenue,commission_amount,promotion_cost,breakfast_cost,housekeeping_cost,utilities_cost,room_amenity_cost,net_room_revenue,direct_variable_cost,room_contribution_profit,created_at
102,20250601,2025-06-01,4,1,2,0,2,5650000,5650000,1017000,0,460000,374000,436000,266000,4633000,1536000,3097000,2025-06-01 02:30:00
103,20250601,2025-06-01,4,1,3,0,1,2830000,2830000,509400,0,230000,187000,218000,133000,2320600,768000,1552600,2025-06-01 02:30:00
104,20250601,2025-06-01,4,1,5,0,2,5630000,5630000,1013400,0,460000,374000,436000,266000,4616600,1536000,3080600,2025-06-01 02:30:00
105,20250601,2025-06-01,4,1,6,4,1,2620000,2360000,424800,260000,230000,187000,218000,133000,1935200,1028000,907200,2025-06-01 02:30:00
106,20250601,2025-06-01,4,1,7,0,1,2800000,2800000,504000,0,230000,187000,218000,133000,2296000,768000,1528000,2025-06-01 02:30:00
107,20250601,2025-06-01,4,1,7,2,1,2760000,2420000,435600,238000,230000,187000,218000,133000,1984400,1006000,978400,2025-06-01 02:30:00
108,20250601,2025-06-01,4,1,9,4,1,2630000,2370000,426600,260000,230000,187000,218000,133000,1943400,1028000,915400,2025-06-01 02:30:00
109,20250601,2025-06-01,4,2,1,0,2,5520000,5520000,1104000,0,460000,374000,436000,266000,4416000,1536000,2880000,2025-06-01 02:30:00
110,20250601,2025-06-01,4,2,3,2,1,2760000,2430000,486000,231000,230000,187000,218000,133000,1944000,999000,945000,2025-06-01 02:30:00
111,20250601,2025-06-01,4,2,4,0,2,5700000,5700000,1140000,0,230000,374000,436000,210000,4560000,1250000,3310000,2025-06-01 02:30:00
112,20250601,2025-06-01,4,2,4,4,1,2860000,2580000,516000,280000,115000,187000,218000,105000,2064000,905000,1159000,2025-06-01 02:30:00
113,20250601,2025-06-01,4,2,5,0,1,2620000,2620000,524000,0,230000,187000,218000,133000,2096000,768000,1328000,2025-06-01 02:30:00
114,20250601,2025-06-01,4,2,5,2,2,5570000,4900000,980000,469000,460000,374000,436000,266000,3920000,2005000,1915000,2025-06-01 02:30:00
115,20250601,2025-06-01,4,2,8,0,1,2620000,2620000,524000,0,115000,187000,218000,105000,2096000,625000,1471000,2025-06-01 02:30:00
116,20250601,2025-06-01,4,2,9,0,1,2930000,2930000,586000,0,230000,187000,218000,133000,2344000,768000,1576000,2025-06-01 02:30:00
117,20250601,2025-06-01,4,3,1,2,1,2780000,2450000,367500,231000,230000,187000,218000,133000,2082500,999000,1083500,2025-06-01 02:30:00
118,20250601,2025-06-01,4,4,2,2,1,2900000,2550000,433500,245000,230000,187000,218000,133000,2116500,1013000,1103500,2025-06-01 02:30:00
119,20250601,2025-06-01,4,5,1,0,1,2630000,2630000,0,0,230000,187000,218000,133000,2630000,768000,1862000,2025-06-01 02:30:00
120,20250601,2025-06-01,4,5,2,0,1,2730000,2730000,0,0,230000,187000,218000,133000,2730000,768000,1962000,2025-06-01 02:30:00
121,20250601,2025-06-01,4,5,2,4,1,2790000,2510000,0,280000,230000,187000,218000,133000,2510000,1048000,1462000,2025-06-01 02:30:00
122,20250601,2025-06-01,4,5,4,0,1,2800000,2800000,0,0,115000,187000,218000,105000,2800000,625000,2175000,2025-06-01 02:30:00
123,20250601,2025-06-01,4,5,4,1,1,2630000,2420000,0,210000,115000,187000,218000,105000,2420000,835000,1585000,2025-06-01 02:30:00
124,20250601,2025-06-01,4,6,3,1,1,2770000,2550000,0,220000,230000,187000,218000,133000,2550000,988000,1562000,2025-06-01 02:30:00
125,20250601,2025-06-01,4,6,7,0,1,2590000,2590000,0,0,230000,187000,218000,133000,2590000,768000,1822000,2025-06-01 02:30:00
126,20250601,2025-06-01,4,7,2,0,1,2360000,2360000,236000,0,0,187000,218000,133000,2124000,538000,1586000,2025-06-01 02:30:00
127,20250601,2025-06-01,4,7,2,3,1,2540000,2420000,242000,120000,230000,187000,218000,133000,2178000,888000,1290000,2025-06-01 02:30:00
128,20250601,2025-06-01,4,7,2,5,1,2470000,2290000,229000,180000,0,187000,218000,133000,2061000,718000,1343000,2025-06-01 02:30:00
129,20250601,2025-06-01,4,7,6,0,1,2450000,2450000,245000,0,0,187000,218000,133000,2205000,538000,1667000,2025-06-01 02:30:00
130,20250601,2025-06-01,5,1,2,0,2,7320000,7320000,1317600,0,460000,431000,514000,266000,6002400,1671000,4331400,2025-06-01 02:30:00
131,20250601,2025-06-01,5,1,3,0,1,3670000,3670000,660600,0,230000,215500,257000,133000,3009400,835500,2173900,2025-06-01 02:30:00
132,20250601,2025-06-01,5,1,5,0,1,3740000,3740000,673200,0,230000,215500,257000,133000,3066800,835500,2231300,2025-06-01 02:30:00
133,20250601,2025-06-01,5,2,1,0,1,3750000,3750000,750000,0,230000,215500,257000,133000,3000000,835500,2164500,2025-06-01 02:30:00
134,20250601,2025-06-01,5,2,2,0,1,3470000,3470000,694000,0,230000,215500,257000,133000,2776000,835500,1940500,2025-06-01 02:30:00
135,20250601,2025-06-01,5,2,2,2,1,3560000,3140000,628000,294000,230000,215500,257000,133000,2512000,1129500,1382500,2025-06-01 02:30:00
136,20250601,2025-06-01,5,2,2,4,1,3740000,3370000,674000,370000,230000,215500,257000,133000,2696000,1205500,1490500,2025-06-01 02:30:00
137,20250601,2025-06-01,5,2,7,0,1,3720000,3720000,744000,0,230000,215500,257000,133000,2976000,835500,2140500,2025-06-01 02:30:00
138,20250601,2025-06-01,5,2,9,2,1,3360000,2960000,592000,280000,230000,215500,257000,133000,2368000,1115500,1252500,2025-06-01 02:30:00
139,20250601,2025-06-01,5,3,7,0,1,3550000,3550000,532500,0,230000,215500,257000,133000,3017500,835500,2182000,2025-06-01 02:30:00
140,20250601,2025-06-01,5,4,1,0,1,3680000,3680000,625600,0,230000,215500,257000,133000,3054400,835500,2218900,2025-06-01 02:30:00
141,20250601,2025-06-01,5,6,4,1,1,3450000,3170000,0,280000,115000,215500,257000,105000,3170000,972500,2197500,2025-06-01 02:30:00
142,20250601,2025-06-01,5,7,2,5,1,3140000,2920000,292000,220000,230000,215500,257000,133000,2628000,1055500,1572500,2025-06-01 02:30:00
143,20250601,2025-06-01,5,7,3,0,1,3160000,3160000,316000,0,230000,215500,257000,133000,2844000,835500,2008500,2025-06-01 02:30:00
144,20250601,2025-06-01,5,7,5,0,1,3130000,3130000,313000,0,230000,215500,257000,133000,2817000,835500,1981500,2025-06-01 02:30:00
145,20250601,2025-06-01,6,1,5,2,2,9010000,7930000,1427400,756000,460000,450000,540000,266000,6502600,2472000,4030600,2025-06-01 02:30:00
146,20250601,2025-06-01,6,2,1,2,1,4480000,3940000,788000,378000,230000,225000,270000,133000,3152000,1236000,1916000,2025-06-01 02:30:00
147,20250601,2025-06-01,6,5,1,1,1,4440000,4080000,0,360000,230000,225000,270000,133000,4080000,1218000,2862000,2025-06-01 02:30:00
148,20250601,2025-06-01,6,5,6,1,1,4110000,3780000,0,330000,230000,225000,270000,133000,3780000,1188000,2592000,2025-06-01 02:30:00
149,20250601,2025-06-01,6,5,7,1,1,4460000,4100000,0,360000,230000,225000,270000,133000,4100000,1218000,2882000,2025-06-01 02:30:00
150,20250601,2025-06-01,6,7,8,5,1,3900000,3630000,363000,270000,115000,225000,270000,105000,3267000,985000,2282000,2025-06-01 02:30:00
151,20250601,2025-06-01,7,1,1,0,1,5700000,5700000,1026000,0,230000,260000,270000,108000,4674000,868000,3806000,2025-06-01 02:30:00
152,20250601,2025-06-01,7,2,2,4,1,5760000,5180000,1036000,580000,230000,260000,270000,108000,4144000,1448000,2696000,2025-06-01 02:30:00
153,20250601,2025-06-01,7,7,1,0,1,4620000,4620000,462000,0,230000,260000,270000,108000,4158000,868000,3290000,2025-06-01 02:30:00
154,20250601,2025-06-01,8,2,2,2,1,7600000,6690000,1338000,637000,305000,307500,335000,161000,5352000,1745500,3606500,2025-06-01 02:30:00
155,20250601,2025-06-01,8,5,2,0,1,7140000,7140000,0,0,420000,307500,335000,189000,7140000,1251500,5888500,2025-06-01 02:30:00
156,20250601,2025-06-01,9,2,6,0,1,10940000,10940000,2188000,0,650000,326500,361000,245000,8752000,1582500,7169500,2025-06-01 02:30:00
157,20250602,2025-06-02,1,1,1,0,1,1470000,1470000,264600,0,230000,183200,157800,108000,1205400,679000,526400,2025-06-02 02:30:00
158,20250602,2025-06-02,1,1,2,2,1,1520000,1330000,239400,133000,230000,183200,157800,108000,1090600,812000,278600,2025-06-02 02:30:00
159,20250602,2025-06-02,1,1,3,2,1,1480000,1300000,234000,126000,230000,183200,157800,108000,1066000,805000,261000,2025-06-02 02:30:00
160,20250602,2025-06-02,1,1,6,0,1,1430000,1430000,257400,0,230000,183200,157800,108000,1172600,679000,493600,2025-06-02 02:30:00
161,20250602,2025-06-02,1,1,7,0,1,1390000,1390000,250200,0,230000,183200,157800,108000,1139800,679000,460800,2025-06-02 02:30:00
162,20250602,2025-06-02,1,1,9,0,2,2810000,2810000,505800,0,460000,366400,315600,216000,2304200,1358000,946200,2025-06-02 02:30:00
163,20250602,2025-06-02,1,2,1,0,1,1510000,1510000,302000,0,230000,183200,157800,108000,1208000,679000,529000,2025-06-02 02:30:00
164,20250602,2025-06-02,1,2,1,2,1,1440000,1270000,254000,119000,230000,183200,157800,108000,1016000,798000,218000,2025-06-02 02:30:00
165,20250602,2025-06-02,1,2,2,2,1,1380000,1220000,244000,112000,230000,183200,157800,108000,976000,791000,185000,2025-06-02 02:30:00
166,20250602,2025-06-02,1,2,3,0,1,1420000,1420000,284000,0,230000,183200,157800,108000,1136000,679000,457000,2025-06-02 02:30:00
167,20250602,2025-06-02,1,2,5,0,1,1470000,1470000,294000,0,230000,183200,157800,108000,1176000,679000,497000,2025-06-02 02:30:00
168,20250602,2025-06-02,1,2,5,2,1,1490000,1310000,262000,126000,230000,183200,157800,108000,1048000,805000,243000,2025-06-02 02:30:00
169,20250602,2025-06-02,1,2,5,4,1,1490000,1340000,268000,150000,230000,183200,157800,108000,1072000,829000,243000,2025-06-02 02:30:00
170,20250602,2025-06-02,1,2,6,0,1,1440000,1440000,288000,0,230000,183200,157800,108000,1152000,679000,473000,2025-06-02 02:30:00
171,20250602,2025-06-02,1,2,6,2,2,2760000,2430000,486000,231000,460000,366400,315600,216000,1944000,1589000,355000,2025-06-02 02:30:00
172,20250602,2025-06-02,1,2,6,4,2,2850000,2560000,512000,290000,460000,366400,315600,216000,2048000,1648000,400000,2025-06-02 02:30:00
173,20250602,2025-06-02,1,2,7,4,1,1430000,1280000,256000,150000,230000,183200,157800,108000,1024000,829000,195000,2025-06-02 02:30:00
174,20250602,2025-06-02,1,3,2,0,1,1480000,1480000,222000,0,230000,183200,157800,108000,1258000,679000,579000,2025-06-02 02:30:00
175,20250602,2025-06-02,1,3,2,4,1,1470000,1320000,198000,150000,230000,183200,157800,108000,1122000,829000,293000,2025-06-02 02:30:00
176,20250602,2025-06-02,1,3,3,2,2,2920000,2570000,385500,245000,460000,366400,315600,216000,2184500,1603000,581500,2025-06-02 02:30:00
177,20250602,2025-06-02,1,3,6,2,1,1370000,1200000,180000,119000,230000,183200,157800,108000,1020000,798000,222000,2025-06-02 02:30:00
178,20250602,2025-06-02,1,3,7,0,1,1510000,1510000,226500,0,230000,183200,157800,108000,1283500,679000,604500,2025-06-02 02:30:00
179,20250602,2025-06-02,1,3,9,0,1,1440000,1440000,216000,0,230000,183200,157800,108000,1224000,679000,545000,2025-06-02 02:30:00
180,20250602,2025-06-02,1,4,1,2,1,1490000,1310000,222700,126000,230000,183200,157800,108000,1087300,805000,282300,2025-06-02 02:30:00
181,20250602,2025-06-02,1,4,2,0,1,1430000,1430000,243100,0,230000,183200,157800,108000,1186900,679000,507900,2025-06-02 02:30:00
182,20250602,2025-06-02,1,4,2,2,2,3010000,2650000,450500,252000,460000,366400,315600,216000,2199500,1610000,589500,2025-06-02 02:30:00
183,20250602,2025-06-02,1,4,3,0,1,1390000,1390000,236300,0,230000,183200,157800,108000,1153700,679000,474700,2025-06-02 02:30:00
184,20250602,2025-06-02,1,4,5,2,2,2870000,2530000,430100,238000,460000,366400,315600,216000,2099900,1596000,503900,2025-06-02 02:30:00
185,20250602,2025-06-02,1,4,9,2,1,1390000,1220000,207400,119000,230000,183200,157800,108000,1012600,798000,214600,2025-06-02 02:30:00
186,20250602,2025-06-02,1,5,2,0,1,1400000,1400000,0,0,230000,183200,157800,108000,1400000,679000,721000,2025-06-02 02:30:00
187,20250602,2025-06-02,1,5,2,1,1,1380000,1270000,0,110000,230000,183200,157800,108000,1270000,789000,481000,2025-06-02 02:30:00
188,20250602,2025-06-02,1,5,2,3,2,2900000,2750000,0,150000,460000,366400,315600,216000,2750000,1508000,1242000,2025-06-02 02:30:00
189,20250602,2025-06-02,1,5,3,4,1,1370000,1230000,0,140000,230000,183200,157800,108000,1230000,819000,411000,2025-06-02 02:30:00
190,20250602,2025-06-02,1,5,5,0,1,1430000,1430000,0,0,230000,183200,157800,108000,1430000,679000,751000,2025-06-02 02:30:00
